发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2025/6/8,22:14:20,2025,13:16,796.23,但是她确实没有防备遭人陷害，确实思虑不到位,c1ff8053...,白色,#FFFFFF,滚动弹幕,正常,21
2025/6/8,19:21:12,2025,15:16,916.36,真不合理，她再得宠，看见眼前的事实，怎么会不理解。。。,57c2ba24...,白色,#FFFFFF,滚动弹幕,正常,27
2025/6/6,12:27:06,2025,1:03,63.58,"""\",18e65104...,白色,#FFFFFF,滚动弹幕,正常,2
2025/6/5,18:06:13,2025,11:39,699.47,在封建社会皇宫里靠只自己不现实呀,3878c0e9...,白色,#FFFFFF,滚动弹幕,正常,16
2025/6/5,18:04:21,2025,10:35,635.49,不知人心险恶,3878c0e9...,白色,#FFFFFF,滚动弹幕,正常,6
2025/6/3,11:23:51,2025,10:37,637.64,刚入职场，看别人后来居上，讨厌的同事职务又比你高，肯定急死了,1a399695...,白色,#FFFFFF,滚动弹幕,正常,30
2025/5/29,17:16:44,2025,0:12,12.7,你要考研呐,97a7822b...,白色,#FFFFFF,滚动弹幕,正常,5
2025/5/27,14:11:24,2025,2:19,139.4,5,4940ce5f...,白色,#FFFFFF,滚动弹幕,正常,1
2025/5/24,19:53:25,2025,0:11,11.1,up主太有才了！！,e65474f3...,白色,#FFFFFF,滚动弹幕,正常,9
2025/5/24,14:03:49,2025,13:17,797.08,她真的好像从古代仕女图里走出来的一样,6d616b1e...,白色,#FFFFFF,滚动弹幕,正常,18
2025/5/23,22:20:03,2025,5:09,309.66,呱唧呱唧,356c0a39...,白色,#FFFFFF,滚动弹幕,正常,4
2025/5/23,22:19:51,2025,5:04,304.2,恭喜恭喜！！,356c0a39...,白色,#FFFFFF,滚动弹幕,正常,6
2025/5/18,18:12:59,2025,15:54,954.31,木薯粉其实真的有点太牵强了,59164ad6...,白色,#FFFFFF,滚动弹幕,正常,13
